"id";"year";"round";"series";"tmIDWinner";"lgIDWinner";"tmIDLoser";"lgIDLoser";"W";"L"
31;1949;"DSF";"J";"AND";"NBA";"TRI";"NBA";2;1
32;1949;"DSF";"J";"INO";"NBA";"SHE";"NBA";2;1
33;1950;"DF";"K";"NYK";"NBA";"SYR";"NBA";3;2
34;1950;"DSF";"J";"NYK";"NBA";"BOS";"NBA";2;0
35;1950;"DSF";"J";"SYR";"NBA";"PHW";"NBA";2;0
36;1950;"F";"O";"ROC";"NBA";"NYK";"NBA";4;3
37;1950;"DF";"K";"ROC";"NBA";"MNL";"NBA";3;1
38;1950;"DSF";"J";"MNL";"NBA";"INO";"NBA";2;1
39;1950;"DSF";"J";"ROC";"NBA";"FTW";"NBA";2;1
40;1951;"DF";"K";"NYK";"NBA";"SYR";"NBA";3;1
41;1951;"DSF";"J";"NYK";"NBA";"BOS";"NBA";2;1
42;1951;"DSF";"J";"SYR";"NBA";"PHW";"NBA";2;1
43;1951;"F";"O";"MNL";"NBA";"NYK";"NBA";4;3
44;1951;"DF";"K";"MNL";"NBA";"ROC";"NBA";3;1
45;1951;"DSF";"J";"MNL";"NBA";"INO";"NBA";2;0
46;1951;"DSF";"J";"ROC";"NBA";"FTW";"NBA";2;0
47;1952;"DF";"K";"NYK";"NBA";"BOS";"NBA";3;1
48;1952;"DSF";"J";"BOS";"NBA";"SYR";"NBA";2;0
49;1952;"DSF";"J";"NYK";"NBA";"BLB";"NBA";2;0
50;1952;"F";"O";"MNL";"NBA";"NYK";"NBA";4;1
51;1952;"DF";"K";"MNL";"NBA";"FTW";"NBA";3;2
52;1952;"DSF";"J";"MNL";"NBA";"INO";"NBA";2;0
53;1952;"DSF";"J";"FTW";"NBA";"ROC";"NBA";2;1
54;1953;"DF";"K";"SYR";"NBA";"BOS";"NBA";2;0
55;1953;"RR";"I";"SYR";"NBA";"";"NBA";4;0
56;1953;"RR";"I";"BOS";"NBA";"";"NBA";2;2
57;1953;"RR";"I";"NYK";"NBA";"";"NBA";0;4
58;1953;"F";"O";"MNL";"NBA";"SYR";"NBA";4;3
59;1953;"DF";"K";"MNL";"NBA";"ROC";"NBA";2;1
60;1953;"RR";"I";"MNL";"NBA";"";"NBA";3;0
61;1953;"RR";"I";"ROC";"NBA";"";"NBA";2;1
62;1953;"RR";"I";"FTW";"NBA";"";"NBA";0;4
63;1954;"DF";"K";"SYR";"NBA";"BOS";"NBA";3;1
64;1954;"DSF";"J";"BOS";"NBA";"NYK";"NBA";2;1
65;1954;"F";"O";"SYR";"NBA";"FTW";"NBA";4;3
66;1954;"DF";"K";"FTW";"NBA";"MNL";"NBA";3;1
67;1954;"DSF";"J";"MNL";"NBA";"ROC";"NBA";2;1
68;1955;"DF";"K";"PHW";"NBA";"SYR";"NBA";3;2
69;1955;"DSF";"J";"SYR";"NBA";"BOS";"NBA";2;1
70;1955;"DT";"A";"SYR";"NBA";"NYK";"NBA";1;0
71;1955;"F";"O";"PHW";"NBA";"FTW";"NBA";4;1
72;1955;"DF";"K";"FTW";"NBA";"STL";"NBA";3;2
73;1955;"DT";"A";"MNL";"NBA";"STL";"NBA";1;0
74;1955;"DSF";"J";"STL";"NBA";"MNL";"NBA";2;1
75;1956;"DF";"K";"BOS";"NBA";"SYR";"NBA";3;0
76;1956;"DSF";"J";"SYR";"NBA";"PHW";"NBA";2;0
77;1956;"F";"O";"BOS";"NBA";"STL";"NBA";4;3
78;1956;"DF";"K";"STL";"NBA";"MNL";"NBA";3;0
79;1956;"DSF";"J";"MNL";"NBA";"FTW";"NBA";2;0
80;1956;"DT";"A";"STL";"NBA";"FTW";"NBA";1;0
81;1956;"DT";"A";"STL";"NBA";"MNL";"NBA";1;0
82;1957;"DF";"K";"BOS";"NBA";"PHW";"NBA";4;1
83;1957;"DSF";"J";"PHW";"NBA";"SYR";"NBA";2;1
84;1957;"F";"O";"STL";"NBA";"BOS";"NBA";4;2
85;1957;"DF";"K";"STL";"NBA";"DET";"NBA";4;1
86;1957;"DSF";"J";"DET";"NBA";"CIN";"NBA";2;0
87;1958;"DF";"K";"BOS";"NBA";"SYR";"NBA";4;3
88;1958;"DSF";"J";"SYR";"NBA";"NYK";"NBA";2;0
89;1958;"F";"O";"BOS";"NBA";"MNL";"NBA";4;0
90;1958;"DF";"K";"MNL";"NBA";"STL";"NBA";4;2
91;1958;"DSF";"J";"MNL";"NBA";"DET";"NBA";2;1
92;1959;"DF";"K";"BOS";"NBA";"PHW";"NBA";4;2
93;1959;"DSF";"J";"PHW";"NBA";"SYR";"NBA";2;1
94;1959;"F";"O";"BOS";"NBA";"STL";"NBA";4;3
95;1959;"DF";"K";"STL";"NBA";"MNL";"NBA";4;3
96;1959;"DSF";"J";"MNL";"NBA";"DET";"NBA";2;0
97;1960;"DF";"K";"BOS";"NBA";"SYR";"NBA";4;1
98;1960;"DSF";"J";"SYR";"NBA";"PHW";"NBA";3;0
99;1960;"F";"O";"BOS";"NBA";"STL";"NBA";4;1
100;1960;"DF";"K";"STL";"NBA";"LAL";"NBA";4;3
101;1960;"DSF";"J";"LAL";"NBA";"DET";"NBA";3;2
102;1961;"DF";"K";"BOS";"NBA";"PHW";"NBA";4;3
103;1961;"DSF";"J";"PHW";"NBA";"SYR";"NBA";3;2
104;1961;"F";"O";"BOS";"NBA";"LAL";"NBA";4;3
105;1961;"DF";"K";"LAL";"NBA";"DET";"NBA";4;2
106;1961;"DSF";"J";"DET";"NBA";"CIN";"NBA";3;1
107;1962;"DF";"K";"BOS";"NBA";"CIN";"NBA";4;3
108;1962;"DSF";"J";"CIN";"NBA";"SYR";"NBA";3;2
109;1962;"F";"O";"BOS";"NBA";"LAL";"NBA";4;2
110;1962;"DF";"K";"LAL";"NBA";"STL";"NBA";4;3
111;1962;"DSF";"J";"STL";"NBA";"DET";"NBA";3;1
112;1963;"DF";"K";"BOS";"NBA";"CIN";"NBA";4;1
113;1963;"DSF";"J";"CIN";"NBA";"PHI";"NBA";3;2
114;1963;"F";"O";"BOS";"NBA";"SFW";"NBA";4;1
115;1963;"DF";"K";"SFW";"NBA";"STL";"NBA";4;3
116;1963;"DSF";"J";"STL";"NBA";"LAL";"NBA";3;2
117;1964;"DF";"K";"BOS";"NBA";"PHI";"NBA";4;3
118;1964;"DSF";"J";"PHI";"NBA";"CIN";"NBA";3;1
119;1964;"F";"O";"BOS";"NBA";"LAL";"NBA";4;1
120;1964;"DF";"K";"LAL";"NBA";"BAL";"NBA";4;2
121;1964;"DSF";"J";"BAL";"NBA";"STL";"NBA";3;1
122;1965;"DF";"K";"BOS";"NBA";"PHI";"NBA";4;1
123;1965;"DSF";"J";"BOS";"NBA";"CIN";"NBA";3;2
124;1965;"F";"O";"BOS";"NBA";"LAL";"NBA";4;3
125;1965;"DF";"K";"LAL";"NBA";"STL";"NBA";4;3
126;1965;"DSF";"J";"STL";"NBA";"BAL";"NBA";3;0
127;1966;"DF";"K";"PHI";"NBA";"BOS";"NBA";4;1
128;1966;"DSF";"J";"BOS";"NBA";"NYK";"NBA";3;1
129;1966;"DSF";"J";"PHI";"NBA";"CIN";"NBA";3;1
130;1966;"F";"O";"PHI";"NBA";"SFW";"NBA";4;2
131;1966;"DF";"K";"SFW";"NBA";"STL";"NBA";4;2
132;1966;"DSF";"J";"SFW";"NBA";"LAL";"NBA";3;0
133;1966;"DSF";"J";"STL";"NBA";"CHI";"NBA";3;0
134;1967;"DF";"K";"BOS";"NBA";"PHI";"NBA";4;3
135;1967;"DSF";"J";"BOS";"NBA";"DET";"NBA";4;2
136;1967;"DSF";"J";"PHI";"NBA";"NYK";"NBA";4;2
137;1967;"F";"O";"BOS";"NBA";"LAL";"NBA";4;2
138;1967;"DF";"K";"LAL";"NBA";"SFW";"NBA";4;0
139;1967;"DSF";"J";"LAL";"NBA";"CHI";"NBA";4;1
140;1967;"DSF";"J";"SFW";"NBA";"STL";"NBA";4;2
141;1968;"DF";"K";"BOS";"NBA";"NYK";"NBA";4;2
142;1968;"DSF";"J";"NYK";"NBA";"BAL";"NBA";4;0
143;1968;"DSF";"J";"BOS";"NBA";"PHI";"NBA";4;1
144;1968;"F";"O";"BOS";"NBA";"LAL";"NBA";4;3
145;1968;"DF";"K";"LAL";"NBA";"ATL";"NBA";4;1
146;1968;"DSF";"J";"ATL";"NBA";"SDR";"NBA";4;2
147;1968;"DSF";"J";"LAL";"NBA";"SFW";"NBA";4;2
148;1969;"DF";"K";"NYK";"NBA";"MIL";"NBA";4;1
149;1969;"DSF";"J";"MIL";"NBA";"PHI";"NBA";4;1
150;1969;"DSF";"J";"NYK";"NBA";"BAL";"NBA";4;3
151;1969;"F";"O";"NYK";"NBA";"LAL";"NBA";4;3
152;1969;"DF";"K";"LAL";"NBA";"ATL";"NBA";4;0
153;1969;"DSF";"J";"ATL";"NBA";"CHI";"NBA";4;1
154;1969;"DSF";"J";"LAL";"NBA";"PHO";"NBA";4;3
155;1970;"CF";"N";"BAL";"NBA";"NYK";"NBA";4;3
156;1970;"CSF";"M";"NYK";"NBA";"ATL";"NBA";4;1
157;1970;"CSF";"M";"BAL";"NBA";"PHI";"NBA";4;3
158;1970;"F";"O";"MIL";"NBA";"BAL";"NBA";4;0
159;1970;"CF";"N";"MIL";"NBA";"LAL";"NBA";4;1
160;1970;"CSF";"M";"MIL";"NBA";"SFW";"NBA";4;1
161;1970;"CSF";"M";"LAL";"NBA";"CHI";"NBA";4;3
162;1971;"CF";"N";"NYK";"NBA";"BOS";"NBA";4;1
163;1971;"CSF";"M";"BOS";"NBA";"ATL";"NBA";4;2
164;1971;"CSF";"M";"NYK";"NBA";"BAL";"NBA";4;2
165;1971;"F";"O";"LAL";"NBA";"NYK";"NBA";4;1
166;1971;"CF";"N";"LAL";"NBA";"MIL";"NBA";4;2
167;1971;"CSF";"M";"LAL";"NBA";"CHI";"NBA";4;0
168;1971;"CSF";"M";"MIL";"NBA";"GSW";"NBA";4;1
169;1972;"CF";"N";"NYK";"NBA";"BOS";"NBA";4;3
170;1972;"CSF";"M";"NYK";"NBA";"BAL";"NBA";4;1
171;1972;"CSF";"M";"BOS";"NBA";"ATL";"NBA";4;2
172;1972;"F";"O";"NYK";"NBA";"LAL";"NBA";4;1
173;1972;"CF";"N";"LAL";"NBA";"GSW";"NBA";4;1
174;1972;"CSF";"M";"GSW";"NBA";"MIL";"NBA";4;2
175;1972;"CSF";"M";"LAL";"NBA";"CHI";"NBA";4;3
176;1973;"CF";"N";"BOS";"NBA";"NYK";"NBA";4;1
177;1973;"CSF";"M";"BOS";"NBA";"BUF";"NBA";4;2
178;1973;"CSF";"M";"NYK";"NBA";"CAP";"NBA";4;3
179;1973;"F";"O";"BOS";"NBA";"MIL";"NBA";4;3
180;1973;"CF";"N";"MIL";"NBA";"CHI";"NBA";4;0
181;1973;"CSF";"M";"MIL";"NBA";"LAL";"NBA";4;1
182;1973;"CSF";"M";"CHI";"NBA";"DET";"NBA";4;3
183;1974;"CF";"N";"WSB";"NBA";"BOS";"NBA";4;2
184;1974;"CFR";"L";"HOU";"NBA";"NYK";"NBA";2;1
185;1974;"CSF";"M";"BOS";"NBA";"HOU";"NBA";4;1
186;1974;"CSF";"M";"WSB";"NBA";"BUF";"NBA";4;3
187;1974;"F";"O";"GSW";"NBA";"WSB";"NBA";4;0
188;1974;"CF";"N";"GSW";"NBA";"CHI";"NBA";4;3
189;1974;"CFR";"L";"SEA";"NBA";"DET";"NBA";2;1
190;1974;"CSF";"M";"CHI";"NBA";"KCO";"NBA";4;2
191;1974;"CSF";"M";"GSW";"NBA";"SEA";"NBA";4;2
192;1975;"CF";"N";"BOS";"NBA";"CLE";"NBA";4;2
193;1975;"CFR";"L";"BUF";"NBA";"PHI";"NBA";2;1
194;1975;"CSF";"M";"BOS";"NBA";"BUF";"NBA";4;2
195;1975;"CSF";"M";"CLE";"NBA";"WSB";"NBA";4;3
196;1975;"F";"O";"BOS";"NBA";"PHO";"NBA";4;2
197;1975;"CF";"N";"PHO";"NBA";"GSW";"NBA";4;3
198;1975;"CFR";"L";"DET";"NBA";"MIL";"NBA";2;1
199;1975;"CSF";"M";"GSW";"NBA";"DET";"NBA";4;2
200;1975;"CSF";"M";"PHO";"NBA";"SEA";"NBA";4;2
201;1976;"CF";"N";"PHI";"NBA";"HOU";"NBA";4;2
202;1976;"CFR";"L";"BOS";"NBA";"SAS";"NBA";2;0
203;1976;"CFR";"L";"WSB";"NBA";"CLE";"NBA";2;1
204;1976;"CSF";"M";"HOU";"NBA";"WSB";"NBA";4;2
205;1976;"CSF";"M";"PHI";"NBA";"BOS";"NBA";4;3
206;1976;"F";"O";"POR";"NBA";"PHI";"NBA";4;2
207;1976;"CF";"N";"POR";"NBA";"LAL";"NBA";4;0
208;1976;"CFR";"L";"GSW";"NBA";"DET";"NBA";2;1
209;1976;"CFR";"L";"POR";"NBA";"CHI";"NBA";2;1
210;1976;"CSF";"M";"POR";"NBA";"DEN";"NBA";4;2
211;1976;"CSF";"M";"LAL";"NBA";"GSW";"NBA";4;3
212;1977;"CF";"N";"WSB";"NBA";"PHI";"NBA";4;2
213;1977;"CFR";"L";"NYK";"NBA";"CLE";"NBA";2;0
214;1977;"CFR";"L";"WSB";"NBA";"ATL";"NBA";2;0
215;1977;"CSF";"M";"PHI";"NBA";"NYK";"NBA";4;0
216;1977;"CSF";"M";"WSB";"NBA";"SAS";"NBA";4;2
217;1977;"F";"O";"WSB";"NBA";"SEA";"NBA";4;3
218;1977;"CF";"N";"SEA";"NBA";"DEN";"NBA";4;2
219;1977;"CFR";"L";"MIL";"NBA";"PHO";"NBA";2;0
220;1977;"CFR";"L";"SEA";"NBA";"LAL";"NBA";2;1
221;1977;"CSF";"M";"SEA";"NBA";"POR";"NBA";4;2
222;1977;"CSF";"M";"DEN";"NBA";"MIL";"NBA";4;3
223;1978;"CF";"N";"WSB";"NBA";"SAS";"NBA";4;3
224;1978;"CFR";"L";"ATL";"NBA";"HOU";"NBA";2;0
225;1978;"CFR";"L";"PHI";"NBA";"NJN";"NBA";2;0
226;1978;"CSF";"M";"SAS";"NBA";"PHI";"NBA";4;3
227;1978;"CSF";"M";"WSB";"NBA";"ATL";"NBA";4;3
228;1978;"F";"O";"SEA";"NBA";"WSB";"NBA";4;1
229;1978;"CF";"N";"SEA";"NBA";"PHO";"NBA";4;3
230;1978;"CFR";"L";"LAL";"NBA";"DEN";"NBA";2;1
231;1978;"CFR";"L";"PHO";"NBA";"POR";"NBA";2;1
232;1978;"CSF";"M";"PHO";"NBA";"KCK";"NBA";4;1
233;1978;"CSF";"M";"SEA";"NBA";"LAL";"NBA";4;1
234;1979;"CF";"N";"PHI";"NBA";"BOS";"NBA";4;1
235;1979;"CFR";"L";"PHI";"NBA";"WSB";"NBA";2;0
236;1979;"CFR";"L";"HOU";"NBA";"SAS";"NBA";2;1
237;1979;"CSF";"M";"BOS";"NBA";"HOU";"NBA";4;0
238;1979;"CSF";"M";"PHI";"NBA";"ATL";"NBA";4;1
239;1979;"F";"O";"LAL";"NBA";"PHI";"NBA";4;2
240;1979;"CF";"N";"LAL";"NBA";"SEA";"NBA";4;1
241;1979;"CFR";"L";"PHO";"NBA";"KCK";"NBA";2;1
242;1979;"CFR";"L";"SEA";"NBA";"POR";"NBA";2;1
243;1979;"CSF";"M";"LAL";"NBA";"PHO";"NBA";4;1
244;1979;"CSF";"M";"SEA";"NBA";"MIL";"NBA";4;3
245;1980;"CF";"N";"BOS";"NBA";"PHI";"NBA";4;3
246;1980;"CFR";"L";"CHI";"NBA";"NYK";"NBA";2;0
247;1980;"CFR";"L";"PHI";"NBA";"IND";"NBA";2;0
248;1980;"CSF";"M";"BOS";"NBA";"CHI";"NBA";4;0
249;1980;"CSF";"M";"PHI";"NBA";"MIL";"NBA";4;3
250;1980;"CF";"N";"HOU";"NBA";"KCK";"NBA";4;1
251;1980;"CFR";"L";"HOU";"NBA";"LAL";"NBA";2;1
252;1980;"CFR";"L";"KCK";"NBA";"POR";"NBA";2;1
253;1980;"CSF";"M";"HOU";"NBA";"SAS";"NBA";4;3
254;1980;"CSF";"M";"KCK";"NBA";"PHO";"NBA";4;3
255;1981;"CF";"N";"PHI";"NBA";"BOS";"NBA";4;3
256;1981;"CFR";"L";"PHI";"NBA";"ATL";"NBA";2;0
257;1981;"CFR";"L";"WSB";"NBA";"NJN";"NBA";2;0
258;1981;"CSF";"M";"BOS";"NBA";"WSB";"NBA";4;1
259;1981;"CSF";"M";"PHI";"NBA";"MIL";"NBA";4;2
260;1981;"F";"O";"LAL";"NBA";"PHI";"NBA";4;2
261;1981;"CF";"N";"LAL";"NBA";"SAS";"NBA";4;0
262;1981;"CFR";"L";"PHO";"NBA";"DEN";"NBA";2;1
263;1981;"CFR";"L";"SEA";"NBA";"HOU";"NBA";2;1
264;1981;"CSF";"M";"LAL";"NBA";"PHO";"NBA";4;0
265;1981;"CSF";"M";"SAS";"NBA";"SEA";"NBA";4;1
266;1982;"CF";"N";"PHI";"NBA";"MIL";"NBA";4;1
267;1982;"CFR";"L";"NYK";"NBA";"NJN";"NBA";2;0
268;1982;"CFR";"L";"BOS";"NBA";"ATL";"NBA";2;1
269;1982;"CSF";"M";"MIL";"NBA";"BOS";"NBA";4;0
270;1982;"CSF";"M";"PHI";"NBA";"NYK";"NBA";4;0
271;1982;"F";"O";"PHI";"NBA";"LAL";"NBA";4;0
272;1982;"CF";"N";"LAL";"NBA";"SAS";"NBA";4;2
273;1982;"CFR";"L";"POR";"NBA";"SEA";"NBA";2;0
274;1982;"CFR";"L";"DEN";"NBA";"PHO";"NBA";2;1
275;1982;"CSF";"M";"LAL";"NBA";"POR";"NBA";4;1
276;1982;"CSF";"M";"SAS";"NBA";"DEN";"NBA";4;1
277;1983;"CF";"N";"BOS";"NBA";"MIL";"NBA";4;1
278;1983;"CFR";"L";"BOS";"NBA";"WSB";"NBA";3;1
279;1983;"CFR";"L";"MIL";"NBA";"ATL";"NBA";3;2
280;1983;"CFR";"L";"NJN";"NBA";"PHI";"NBA";3;2
281;1983;"CFR";"L";"NYK";"NBA";"DET";"NBA";3;2
282;1983;"CSF";"M";"MIL";"NBA";"NJN";"NBA";4;2
283;1983;"CSF";"M";"BOS";"NBA";"NYK";"NBA";4;3
284;1983;"F";"O";"BOS";"NBA";"LAL";"NBA";4;3
285;1983;"CF";"N";"LAL";"NBA";"PHO";"NBA";4;2
286;1983;"CFR";"L";"LAL";"NBA";"KCK";"NBA";3;0
287;1983;"CFR";"L";"DAL";"NBA";"SEA";"NBA";3;2
288;1983;"CFR";"L";"PHO";"NBA";"POR";"NBA";3;2
289;1983;"CFR";"L";"UTA";"NBA";"DEN";"NBA";3;2
290;1983;"CSF";"M";"LAL";"NBA";"DAL";"NBA";4;1
291;1983;"CSF";"M";"PHO";"NBA";"UTA";"NBA";4;2
292;1984;"CF";"N";"BOS";"NBA";"PHI";"NBA";4;1
293;1984;"CFR";"L";"DET";"NBA";"NJN";"NBA";3;0
294;1984;"CFR";"L";"BOS";"NBA";"CLE";"NBA";3;1
295;1984;"CFR";"L";"MIL";"NBA";"CHI";"NBA";3;1
296;1984;"CFR";"L";"PHI";"NBA";"WSB";"NBA";3;1
297;1984;"CSF";"M";"PHI";"NBA";"MIL";"NBA";4;0
298;1984;"CSF";"M";"BOS";"NBA";"DET";"NBA";4;2
299;1984;"F";"O";"LAL";"NBA";"BOS";"NBA";4;2
300;1984;"CF";"N";"LAL";"NBA";"DEN";"NBA";4;1
301;1984;"CFR";"L";"LAL";"NBA";"PHO";"NBA";3;0
302;1984;"CFR";"L";"POR";"NBA";"DAL";"NBA";3;1
303;1984;"CFR";"L";"DEN";"NBA";"SAS";"NBA";3;2
304;1984;"CFR";"L";"UTA";"NBA";"HOU";"NBA";3;2
305;1984;"CSF";"M";"DEN";"NBA";"UTA";"NBA";4;1
306;1984;"CSF";"M";"LAL";"NBA";"POR";"NBA";4;1
307;1985;"CF";"N";"BOS";"NBA";"MIL";"NBA";4;0
308;1985;"CFR";"L";"BOS";"NBA";"CHI";"NBA";3;0
309;1985;"CFR";"L";"MIL";"NBA";"NJN";"NBA";3;0
310;1985;"CFR";"L";"ATL";"NBA";"DET";"NBA";3;1
311;1985;"CFR";"L";"PHI";"NBA";"WSB";"NBA";3;2
312;1985;"CSF";"M";"BOS";"NBA";"ATL";"NBA";4;1
313;1985;"CSF";"M";"MIL";"NBA";"PHI";"NBA";4;3
314;1985;"F";"O";"BOS";"NBA";"HOU";"NBA";4;2
315;1985;"CF";"N";"HOU";"NBA";"LAL";"NBA";4;1
316;1985;"CFR";"L";"HOU";"NBA";"SAC";"NBA";3;0
317;1985;"CFR";"L";"LAL";"NBA";"SAS";"NBA";3;0
318;1985;"CFR";"L";"DAL";"NBA";"UTA";"NBA";3;1
319;1985;"CFR";"L";"DEN";"NBA";"POR";"NBA";3;1
320;1985;"CSF";"M";"HOU";"NBA";"DEN";"NBA";4;2
321;1985;"CSF";"M";"LAL";"NBA";"DAL";"NBA";4;2
322;1986;"CF";"N";"BOS";"NBA";"DET";"NBA";4;3
323;1986;"CFR";"L";"BOS";"NBA";"CHI";"NBA";3;0
324;1986;"CFR";"L";"DET";"NBA";"WSB";"NBA";3;0
325;1986;"CFR";"L";"ATL";"NBA";"IND";"NBA";3;1
326;1986;"CFR";"L";"MIL";"NBA";"PHI";"NBA";3;2
327;1986;"CSF";"M";"DET";"NBA";"ATL";"NBA";4;1
328;1986;"CSF";"M";"BOS";"NBA";"MIL";"NBA";4;3
329;1986;"CF";"N";"LAL";"NBA";"SEA";"NBA";4;0
330;1986;"CFR";"L";"LAL";"NBA";"DEN";"NBA";3;0
331;1986;"CFR";"L";"HOU";"NBA";"POR";"NBA";3;1
332;1986;"CFR";"L";"SEA";"NBA";"DAL";"NBA";3;1
333;1986;"CFR";"L";"GSW";"NBA";"UTA";"NBA";3;2
334;1986;"CSF";"M";"LAL";"NBA";"GSW";"NBA";4;1
335;1986;"CSF";"M";"SEA";"NBA";"HOU";"NBA";4;2
336;1987;"CF";"N";"DET";"NBA";"BOS";"NBA";4;2
337;1987;"CFR";"L";"BOS";"NBA";"NYK";"NBA";3;1
338;1987;"CFR";"L";"ATL";"NBA";"MIL";"NBA";3;2
339;1987;"CFR";"L";"CHI";"NBA";"CLE";"NBA";3;2
340;1987;"CFR";"L";"DET";"NBA";"WSB";"NBA";3;2
341;1987;"CSF";"M";"DET";"NBA";"CHI";"NBA";4;1
342;1987;"CSF";"M";"BOS";"NBA";"ATL";"NBA";4;3
343;1987;"F";"O";"LAL";"NBA";"DET";"NBA";4;3
344;1987;"CF";"N";"LAL";"NBA";"DAL";"NBA";4;3
345;1987;"CFR";"L";"LAL";"NBA";"SAS";"NBA";3;0
346;1987;"CFR";"L";"DAL";"NBA";"HOU";"NBA";3;1
347;1987;"CFR";"L";"UTA";"NBA";"POR";"NBA";3;1
348;1987;"CFR";"L";"DEN";"NBA";"SEA";"NBA";3;2
349;1987;"CSF";"M";"DAL";"NBA";"DEN";"NBA";4;2
350;1987;"CSF";"M";"LAL";"NBA";"UTA";"NBA";4;3
351;1988;"CF";"N";"DET";"NBA";"CHI";"NBA";4;2
352;1988;"CFR";"L";"DET";"NBA";"BOS";"NBA";3;0
353;1988;"CFR";"L";"NYK";"NBA";"PHI";"NBA";3;0
354;1988;"CFR";"L";"CHI";"NBA";"CLE";"NBA";3;2
355;1988;"CFR";"L";"MIL";"NBA";"ATL";"NBA";3;2
356;1988;"CSF";"M";"DET";"NBA";"MIL";"NBA";4;0
357;1988;"CSF";"M";"CHI";"NBA";"NYK";"NBA";4;2
358;1988;"CF";"N";"LAL";"NBA";"PHO";"NBA";4;0
359;1988;"CFR";"L";"GSW";"NBA";"UTA";"NBA";3;0
360;1988;"CFR";"L";"LAL";"NBA";"POR";"NBA";3;0
361;1988;"CFR";"L";"PHO";"NBA";"DEN";"NBA";3;0
362;1988;"CFR";"L";"SEA";"NBA";"HOU";"NBA";3;1
363;1988;"CSF";"M";"LAL";"NBA";"SEA";"NBA";4;0
364;1988;"CSF";"M";"PHO";"NBA";"GSW";"NBA";4;1
365;1989;"CF";"N";"DET";"NBA";"CHI";"NBA";4;3
366;1989;"CFR";"L";"DET";"NBA";"IND";"NBA";3;0
367;1989;"CFR";"L";"CHI";"NBA";"MIL";"NBA";3;1
368;1989;"CFR";"L";"NYK";"NBA";"BOS";"NBA";3;2
369;1989;"CFR";"L";"PHI";"NBA";"CLE";"NBA";3;2
370;1989;"CSF";"M";"CHI";"NBA";"PHI";"NBA";4;1
371;1989;"CSF";"M";"DET";"NBA";"NYK";"NBA";4;1
372;1989;"F";"O";"DET";"NBA";"POR";"NBA";4;1
373;1989;"CF";"N";"POR";"NBA";"PHO";"NBA";4;2
374;1989;"CFR";"L";"POR";"NBA";"DAL";"NBA";3;0
375;1989;"CFR";"L";"SAS";"NBA";"DEN";"NBA";3;0
376;1989;"CFR";"L";"LAL";"NBA";"HOU";"NBA";3;1
377;1989;"CFR";"L";"PHO";"NBA";"UTA";"NBA";3;2
378;1989;"CSF";"M";"PHO";"NBA";"LAL";"NBA";4;1
379;1989;"CSF";"M";"POR";"NBA";"SAS";"NBA";4;3
380;1990;"CF";"N";"CHI";"NBA";"DET";"NBA";4;0
381;1990;"CFR";"L";"CHI";"NBA";"NYK";"NBA";3;0
382;1990;"CFR";"L";"PHI";"NBA";"MIL";"NBA";3;0
383;1990;"CFR";"L";"BOS";"NBA";"IND";"NBA";3;2
